Eibenweg, 05:30
Thomasburg, 05:30
Margarete-Gramberg-Str., 05:31
Bäkeweg, 05:32 
Pestalozzistraße, 05:32 
Ohlenbuschweg, 05:33 
Sodenstich, 05:35 
von-Thünen-Straße, 05:36 
Bodenburgallee, 05:37 
Feststraße, 05:38
Marktplatz Eversten, 05:39 
Meinardusstraße, 05:40 
Bismarckstraße, 05:41 
Pulverturm-B, 05:42 
Julius-Mosen-Platz-A, 05:44 
Lappan-A, 05:46 
Hauptbahnhof-Süd-B, 05:47 
ZOB-D, 05:49
Karlstraße, 05:50 
Pferdemarkt-A, 05:51 
Humboldtstraße, 05:52 
von-Finckh-Straße, 05:53 
Melkbrink, 05:54
Frankenstraße, 05:55
Schulweg, 05:56
Im Dreieck, 05:57
Feldstraße, 05:58 
Theodor-Pekol-Straße, 05:59 
Brookweg, 06:00
Mittelweg, 06:00
Rauhehorst, 06:01
Glatzer Straße, 06:02 
Dr.-Th.-Goerlitz-Str., 06:02
BBS Wechloy, 06:04
