Patentbusch, 06:25
Ostring, 06:26
Waldfriedhof, 06:27
Schafjückenweg, 06:28
Am Strehl, 06:29
Schleistraße, 06:30
Lagerstraße, 06:31
Im Eichengrund, 06:32
Muttenpottsweg, 06:33
Felix-Wankel-Straße, 06:34
Wilhelmsh. Heerstraße, 06:35
Haseler Weg, 06:36
Triftweg, 06:37
Nadorst, 06:39
Flötenstraße, 06:40
Stiftsweg, 06:42
Lüttichstraße, 06:43
Bogenstraße, 06:44
Bürgereschstraße, 06:45
Kriegerstraße, 06:46
Pferdemarkt-C, 06:47
Karlstraße, 06:48
ZOB-B, 06:50
Hauptbahnhof-Süd-A, 06:51
Lappan-B, 06:52
Staustraße-A, 06:53
Schloßplatz-A, 06:54
Pulverturm-A, 06:55
Bismarckstraße, 06:55
Meinardusstraße, 06:56
Marktplatz Eversten, 06:57
Feststraße, 06:57
Tannenkampstraße, 06:58
Friedhof Eversten, 06:59
Staakenweg, 07:00
Paulstraße, 07:00
Uhlhornsweg, 07:01
Quellenweg, 07:02
Universität, 07:03
Erlenweg, 07:05
Artillerieweg, 07:05
Infanterieweg, 07:06
