Hatterwüsting, 05:45 
Berliner Straße, 05:46 
Am Forst, 05:47 
Hasenweg, 05:48 
Voßbergweg, 05:48 
Kiebitzweg, 05:49 
Mühlenweg, 05:50 
Bahnhof Sandkrug, 05:52 
Sommerweg, 05:54 
Streeker Moorweg, 05:55 
Schultredde, 05:55 
Schul- u. Sportzentrum, 05:57 
Friedhof Sandkrug, 05:58 
Wirtschaftspark Sandkrug, 05:59 
Tempelberg, 06:00 
Wiemerslande, 06:01 
Waldschänke, 06:02 
Sprungweg, 06:03 
Westerholtsweg, 06:03 
Annabergstraße, 06:04 
Dorfweg, 06:05 
Otto-Wels-Straße, 06:06 
Alter Postweg, 06:07 
Sandkruger Straße, 06:07 
Dr.-Behring-Straße, 06:08 
Klingenbergplatz, 06:09 
Dr.-Schüßler-Str./Klinikum, 06:10 
Ewigkeit, 06:10 
Buschhagenweg, 06:11 
Osternburger Kanal, 06:12 
P+R Westfalend./ OLantis, 06:14 
Bachstraße, 06:15 
Staatsarchiv, 06:16 
Am Festungsgraben, 06:17 
Pulverturm-B, 06:18 
Julius-Mosen-Platz-A, 06:19 
Lappan-A, 06:20 
Hauptbahnhof-Süd-B, 06:21 
ZOB-C, 06:23
