ZOB-B, 06:18
Hauptbahnhof-Süd-A, 06:19
Lappan-B, 06:20
Staustraße-A, 06:21
Schloßplatz-B, 06:22
Nikolausstraße, 06:23
Nordstraße, 06:24
Wiesenstraße, 06:24
Bremer Straße, 06:25
Schützenhofstraße, 06:26
Bremer Heerstraße, 06:26
Bhf. Osternburg, 06:27
Leffersweg, 06:27
Stieglitzweg, 06:28
Am Bahndamm, 06:29
Zaunkönigstraße, 06:30
Largauweg, 06:32
Herrenweg, 06:33
Helmsweg, 06:33
Gerhard-Stalling-Straße, 06:34
Sportpark Osternburg, 06:35
A.-W.-Kühnholz-Straße, 06:35
Rohdenweg, 06:36
Georg-Bölts-Straße, 06:37
An der Schmiede, 06:38
Oldeweg, 06:39
Schützenhof, 06:40
Borchersweg, 06:41
