Patentbusch, 05:51 
Ostring, 05:52 
Waldfriedhof, 05:52 
Schafjückenweg, 05:53 
Am Strehl, 05:54 
Schleistraße, 05:54 
Lagerstraße, 05:55 
Im Eichengrund, 05:56 
Muttenpottsweg, 05:57 
Felix-Wankel-Straße, 05:57 
Wilhelmsh. Heerstraße, 05:58 
Haseler Weg, 05:59 
Triftweg, 06:00 
Nadorst, 06:01 
Schellsteder Weg, 06:01 
Kurlandallee, 06:02 
Rennplatz, 06:02 
Niendorfer Weg, 06:03 
Ohmstede, 06:04 
Westeresch, 06:05 
Clausewitzstraße, 06:06 
Friedrich-Ebert-Straße, 06:07 
Brahmkamp, 06:08 
Waterender Weg, 06:09 
Nibelungenstraße, 06:10 
Wehdestraße, 06:11 
bfe-Oldenburg/Unt. Berg, 06:12
Weser-Ems-Halle, 06:13 
Straßburger Straße, 06:14 
ZOB-B, 06:16 
Hauptbahnhof-Süd-A, 06:17 
Lappan-B, 06:18
Staustraße-A, 06:19 
Schloßplatz-A, 06:20 
Pulverturm-A, 06:21 
Bismarckstraße, 06:21 
Meinardusstraße, 06:22
P+R Marschweg/ OLantis, 06:23 
Eichendorffstraße, 06:24 
Adalbert-Stifter-Straße, 06:25 
Wilhelm-Busch-Straße, 06:25 
von-Thünen-Straße, 06:27 
Sodenstich, 06:27 
Hogenkamp, 06:28 
Kanal, 06:29 
Kanalbrücke, 06:29 
Achterdiek, 06:30 
Eichenallee, 06:30 
Zur Huntebrücke, 06:31 
Hunteweg, 06:32 
Achternmeerer Straße, 06:33 
Am Vogelbusch, 06:34
