ZOB-B, 05:30 
Hauptbahnhof-Süd-A, 05:31 
Lappan-B, 05:32 
Staustraße-A, 05:33 
Schloßplatz-A, 05:34 
Am Festungsgraben, 05:35 
Staatsarchiv, 05:36 
Bachstraße, 05:37 
P+R Westfalend./ OLantis, 05:38 
Osternburger Kanal, 05:38 
Buschhagenweg, 05:39 
Ewigkeit, 05:39 
Dr.-Schüßler-Str./Klinikum, 05:40 
Klingenbergplatz, 05:41 
Dr.-Behring-Straße, 05:41 
Sandkruger Straße, 05:42 
Alter Postweg, 05:42 
Otto-Wels-Straße, 05:43 
Dorfweg, 05:44 
Annabergstraße, 05:45 
Westerholtsweg, 05:46 
Sprungweg, 05:47 
Waldschänke, 05:47 
Wiemerslande, 05:48 
Tempelberg, 05:49 
Wirtschaftspark Sandkrug, 05:50 
Friedhof Sandkrug, 05:51 
Schul- u. Sportzentrum, 05:52 
Schultredde, 05:52 
Streeker Moorweg, 05:53 
Sommerweg, 05:54 
Bahnhof Sandkrug, 05:56 
Mühlenweg, 05:57 
Kiebitzweg, 05:58 
Voßbergweg, 05:59 
Hasenweg, 06:00 
Am Forst, 06:01 
Berliner Straße, 06:02 
Hatterwüsting, 06:04
