Hatterwüsting, 06:15 
Berliner Straße, 06:16 
Am Forst, 06:17 
Hasenweg, 06:18 
Voßbergweg, 06:18 
Kiebitzweg, 06:19 
Mühlenweg, 06:20 
Bahnhof Sandkrug, 06:22 
Sommerweg, 06:24 
Streeker Moorweg, 06:25 
Schultredde, 06:25 
Schul- u. Sportzentrum, 06:27 
Friedhof Sandkrug, 06:28 
Wirtschaftspark Sandkrug, 06:29 
Tempelberg, 06:30 
Wiemerslande, 06:31 
Waldschänke, 06:32 
Sprungweg, 06:33 
Westerholtsweg, 06:33 
Annabergstraße, 06:34 
Dorfweg, 06:35 
Otto-Wels-Straße, 06:36 
Alter Postweg, 06:37 
Sandkruger Straße, 06:37 
Dr.-Behring-Straße, 06:38 
Klingenbergplatz, 06:39 
Dr.-Schüßler-Str./Klinikum, 06:40 
Ewigkeit, 06:40 
Buschhagenweg, 06:41 
Osternburger Kanal, 06:42 
P+R Westfalend./ OLantis, 06:44 
Bachstraße, 06:45 
Staatsarchiv, 06:46 
Am Festungsgraben, 06:47 
Pulverturm-B, 06:48 
Julius-Mosen-Platz-A, 06:49 
Lappan-A, 06:50 
Hauptbahnhof-Süd-B, 06:51 
ZOB-C, 06:53
