BBS Wechloy, 05:49 
Dr.-Th.-Goerlitz-Str., 05:50 
Glatzer Straße, 05:51 
Rauhehorst, 06:52
Mittelweg, 05:53
Brookweg, 05:54 
Theodor-Pekol-Straße, 05:55 
Feldstraße, 05:56
Im Dreieck, 05:57
Schulweg, 05:57 
Frankenstraße, 05:58 
Melkbrink, 05:59 
von-Finckh-Straße, 06:00 
Humboldtstraße, 06:01 
Pferdemarkt-C, 06:02 
Karlstraße, 06:03
ZOB-B, 06:05 
Hauptbahnhof-Süd-A, 06:06 
Lappan-B, 06:06
Staustraße-A, 06:08 
Schloßplatz-A, 06:09 
Pulverturm-A, 06:10 
Bismarckstraße, 06:10 
Meinardusstraße, 06:11 
Marktplatz Eversten, 06:12 
Feststraße, 06:12 
Bodenburgallee, 06:13 
von-Thünen-Straße, 06:14 
Sodenstich, 06:15 
Ohlenbuschweg, 06:16 
Pestalozzistraße, 06:17 
Bäkeweg, 06:17 
Margarete-Gramberg-Str., 06:18 
Thomasburg, 06:19
Eibenweg, 06:20
