Ofenerfeld, 05:09
Ammerlandstraße, 05:09
Linsweger Straße, 05:10
Am Stadtrand, 05:10
Karpfenweg, 05:11
Zanderweg, 05:11
Bahnhof Ofenerdiek, 05:12
Stiekelkamp, 05:12
Spreenweg, 05:13
Bürgerbuschweg, 05:13
Sackhofsweg, 05:14
Eßkamp, 05:14
Hackenweg, 05:15
Scheideweg, 05:16
Deelweg, 05:16
Stiftsweg, 05:17
Lüttichstraße, 05:18
Bogenstraße, 05:19
Bürgereschstraße, 05:20
Kriegerstraße, 05:21
Pferdemarkt-C, 05:22
Karlstraße, 05:23
ZOB-B, 05:25
Hauptbahnhof-Süd-A, 05:26
Lappan-B, 05:27
Staustraße-A, 05:28
Schloßplatz-A, 05:29
Pulverturm-A, 05:30
Bismarckstraße, 05:30
Meinardusstraße, 05:31
Marktplatz Eversten, 05:32
Feststraße, 05:32
Tannenkampstraße, 05:33
Friedhof Eversten, 05:34
Kaspersweg, 05:35
Margarete-Gramberg-Str., 05:35
Lerigauweg, 05:36
Dersagauweg, 05:37
Pirolweg, 05:38
Billunger Weg, 05:39
Florianstraße, 05:40
Otto-Suhr-Straße, 05:41
Ludwig-Erhard-Straße, 05:41
Eversten, 05:42
