Feldahornweg, 05:22
Neusüdender Weg, 05:23
Südring, 05:23
Westerdiek, 05:24
Haakestraße, 05:25
Paul-Tantzen-Straße, 05:26
Bahnhof Ofenerdiek, 05:27
Stiekelkamp, 05:27
Spreenweg, 05:28
Bürgerbuschweg, 05:28
Sackhofsweg, 05:29
Eßkamp, 05:29
Oldenrome, 05:30
Käthe-Kollwitz-Straße, 05:31
Zuschlag, 05:31
Nadorst, 05:32
Flötenstraße, 05:33
Stiftsweg, 05:35
Lüttichstraße, 05:36
Bogenstraße, 05:37
Bürgereschstraße, 05:38
Kriegerstraße, 05:39
Pferdemarkt-C, 05:40
Lappan-B, 05:42
Staustraße-A, 05:43
Schloßplatz-B, 05:44
Nikolausstraße, 05:45
Nordstraße, 05:46
Wiesenstraße, 05:46
Bremer Straße, 05:47
Anton-Günther-Straße, 05:48
Mohrstraße, 05:48
Am Wallplacken, 05:49
Buschhagenweg, 05:50
Ewigkeit, 05:51
Dr.-Schüßler-Str./Klinikum, 05:52
Klingenbergplatz, 05:53
Dr.-Behring-Straße, 05:53
Sandkruger Straße, 05:54
Alter Postweg, 05:54
Otto-Wels-Straße, 05:55
Dorfweg, 05:56
Robert-von-Mayer-Straße, 05:56
Waldmannsweg, 05:57
Heidschnuckenweg, 05:58
Dwaschweg, 05:59
Bümmerstede, 06:00
