Bümmerstede, 05:05
Dwaschweg, 05:06
Heidschnuckenweg, 05:06
Waldmannsweg, 05:07
Robert-von-Mayer-Straße, 05:07
Dorfweg, 05:08
Otto-Wels-Straße, 05:09
Alter Postweg, 05:10
Sandkruger Straße, 05:10
Dr.-Behring-Straße, 05:11
Klingenbergplatz, 05:12
Dr.-Schüßler-Str./Klinikum, 05:13
Ewigkeit, 05:14
Buschhagenweg, 05:15
Am Wallplacken, 05:16
Mohrstraße, 05:17
Anton-Günther-Straße, 05:18
Bremer Straße, 05:19
Wiesenstraße, 05:19
Nordstraße, 05:20
Nikolausstraße, 05:21
Schloßplatz-A, 05:22
Pulverturm-B, 05:23
Julius-Mosen-Platz-A, 05:25
Lappan-A, 05:27
Pferdemarkt-B, 05:28
Kriegerstraße, 05:29
Bürgereschstraße, 05:30
Bogenstraße, 05:30
Lüttichstraße, 05:31
Stiftsweg, 05:31
Flötenstraße, 05:32
Nadorst, 05:33
Zuschlag, 05:33
Käthe-Kollwitz-Straße, 05:34
Oldenrome, 05:35
Eßkamp, 05:36
Sackhofsweg, 05:37
Bürgerbuschweg, 05:37
Spreenweg, 05:38
Stiekelkamp, 05:39
Bahnhof Ofenerdiek, 05:39
Paul-Tantzen-Straße, 05:40
Haakestraße, 05:41
Westerdiek, 05:42
Südring, 05:43
Neusüdender Weg, 05:44
Feldahornweg, 05:45
