Borchersweg, 05:26
Schützenhof, 05:27
Oldeweg, 05:27
An der Schmiede, 05:28
Georg-Bölts-Straße, 05:29
Rohdenweg, 05:30
A.-W.-Kühnholz-Straße, 05:30
Sportpark Osternburg, 05:31
Gerhard-Stalling-Straße, 05:31
Helmsweg, 05:32
Herrenweg, 05:32
Largauweg, 05:33
Zaunkönigstraße, 05:35
Am Bahndamm, 05:36
Stieglitzweg, 05:37
Leffersweg, 05:38
Bhf. Osternburg, 05:39
Bremer Heerstraße, 05:40
Schützenhofstraße, 05:41
Bremer Straße, 05:42
Wiesenstraße, 05:42
Nordstraße, 05:43
Nikolausstraße, 05:44
Schloßplatz-A, 05:45
Pulverturm-B, 05:46
Julius-Mosen-Platz-A, 05:48
Lappan-A, 05:50
Hauptbahnhof-Süd-B, 05:51
ZOB-D, 05:53
