Bümmerstede, 05:35
Dwaschweg, 05:36
Heidschnuckenweg, 05:36
Waldmannsweg, 05:37
Robert-von-Mayer-Straße, 05:37
Dorfweg, 05:38
Otto-Wels-Straße, 05:39
Alter Postweg, 05:40
Sandkruger Straße, 05:40
Dr.-Behring-Straße, 05:41
Klingenbergplatz, 05:42
Dr.-Schüßler-Str./Klinikum, 05:43
Ewigkeit, 05:44
Buschhagenweg, 05:45
Am Wallplacken, 05:46
Mohrstraße, 05:47
Anton-Günther-Straße, 05:48
Bremer Straße, 05:49
Wiesenstraße, 05:49
Nordstraße, 05:50
Nikolausstraße, 05:51
Schloßplatz-A, 05:52
Pulverturm-B, 05:53
Julius-Mosen-Platz-A, 05:55
Lappan-A, 05:57
Pferdemarkt-B, 05:58
Kriegerstraße, 05:59
Bürgereschstraße, 06:00
Bogenstraße, 06:00
Lüttichstraße, 06:01
Stiftsweg, 06:01
Flötenstraße, 06:02
Nadorst, 06:03
Zuschlag, 06:03
Käthe-Kollwitz-Straße, 06:04
Oldenrome, 06:05
Eßkamp, 06:06
Sackhofsweg, 06:07
Bürgerbuschweg, 06:07
Spreenweg, 06:08
Stiekelkamp, 06:09
Bahnhof Ofenerdiek, 06:09
Paul-Tantzen-Straße, 06:10
Haakestraße, 06:11
Westerdiek, 06:12
Südring, 06:13
Neusüdender Weg, 06:14
Feldahornweg, 06:15
