Infanterieweg, 07:15 
Hamelmannstraße, 07:15 
Schützenweg, 07:16 
Universität, 07:17 
Quellenweg, 07:18 
Uhlhornsweg, 07:18 
Paulstraße, 07:19 
Staakenweg, 07:19 
Friedhof Eversten, 07:21 
Tannenkampstraße, 07:22 
Feststraße, 07:23 
Marktplatz Eversten, 07:24 
Meinardusstraße, 07:25 
Bismarckstraße, 07:26 
Pulverturm-B, 07:27 
Julius-Mosen-Platz-A, 07:29 
Lappan-A, 07:31 
Hauptbahnhof-Süd-B, 07:32 
ZOB-C, 07:34
Karlstraße, 07:35 
Pferdemarkt-A, 07:36 
Kriegerstraße, 07:38
Bürgereschstraße, 07:39 
Bogenstraße, 07:40 
Lüttichstraße, 07:41 
Stiftsweg, 07:42 
Flötenstraße, 07:43 
Nadorst, 07:44
Triftweg, 07:45
Haseler Weg, 07:46 
Wilhelmsh. Heerstraße, 07:47 
Felix-Wankel-Straße, 07:48 
Muttenpottsweg, 07:48
Im Eichengrund, 07:49 
Lagerstraße, 07:50 
Schleistraße, 07:51
Am Strehl, 07:52 
Schafjückenweg, 07:53 
Waldfriedhof, 07:54
Ostring, 07:55
Patentbusch, 07:56
