ZOB-B, 05:33
Hauptbahnhof-Süd-A, 05:34
Lappan-B, 05:35
Staustraße-A, 05:36
Schloßplatz-B, 05:37
Nikolausstraße, 05:38
Nordstraße, 05:39
Wiesenstraße, 05:39
Bremer Straße, 05:40
Schützenhofstraße, 05:41
Bremer Heerstraße, 05:41
Bhf. Osternburg, 05:42
Leffersweg, 05:42
Largauweg, 05:43
Herrenweg, 05:44
Helmsweg, 05:44
Gerhard-Stalling-Straße, 05:45
Sportpark Osternburg, 05:46
A.-W.-Kühnholz-Straße, 05:46
Rohdenweg, 05:46
Georg-Bölts-Straße, 05:47
An der Schmiede, 05:48
Oldeweg, 05:49
Schützenhof, 05:50
Borchersweg, 05:51
