Am Vogelbusch, 05:24 
Achternmeerer Straße, 05:25 
Hunteweg, 05:25 
Zur Huntebrücke, 05:26 
Eichenallee, 05:27 
Achterdiek, 05:27 
Kanalbrücke, 05:28 
Kanal, 05:28 
Hogenkamp, 05:29 
Sodenstich, 05:30 
von-Thünen-Straße, 05:30 
Wilhelm-Busch-Straße, 05:31 
Adalbert-Stifter-Straße, 05:32 
Eichendorffstraße, 05:33 
P+R Marschweg/ OLantis, 05:34
Meinardusstraße, 05:35 
Bismarckstraße, 05:36 
Pulverturm-B, 05:37 
Julius-Mosen-Platz-A, 05:39 
Lappan-A, 05:41
Hauptbahnhof-Süd-B, 05:42
ZOB-C, 05:44
Straßburger Straße, 05:45
Weser-Ems-Halle, 05:46
bfe-Oldenburg/Unt. Berg, 05:47 
Wehdestraße, 05:48 
Nibelungenstraße, 05:48 
Waterender Weg, 05:49 
Brahmkamp, 05:49 
Friedrich-Ebert-Straße, 05:50 
Clausewitzstraße, 05:51 
Westeresch, 05:51 
Ohmstede, 05:52 
Niendorfer Weg, 05:53
Rennplatz, 05:54 
Kurlandallee, 05:55 
Schellsteder Weg, 05:55 
Nadorst, 05:56 
Triftweg, 05:57 
Haseler Weg, 05:58 
Wilhelmsh. Heerstraße, 05:59 
Felix-Wankel-Straße, 06:00 
Muttenpottsweg, 06:00 
Im Eichengrund, 06:01 
Lagerstraße, 06:02 
Schleistraße, 06:03 
Am Strehl, 06:04 
Schafjückenweg, 06:05 
Waldfriedhof, 06:06 
Ostring, 06:07 
Patentbusch, 06:08
