Patentbusch, 05:31 
Ostring, 05:32 
Waldfriedhof, 05:33 
Schafjückenweg, 05:34 
Am Strehl, 05:35 
Schleistraße, 05:35 
Lagerstraße, 05:36 
Im Eichengrund, 05:37 
Muttenpottsweg, 05:38 
Felix-Wankel-Straße, 05:38 
Wilhelmsh. Heerstraße, 05:39 
Haseler Weg, 05:40 
Triftweg, 05:41 
Nadorst, 05:42 
Flötenstraße, 05:43 
Stiftsweg, 05:44 
Lüttichstraße, 05:44 
Bogenstraße, 05:45 
Bürgereschstraße, 05:45 
Kriegerstraße, 05:46 
Pferdemarkt-C, 05:47 
Karlstraße, 05:48 
ZOB-B, 05:50 
Hauptbahnhof-Süd-A, 05:51 
Lappan-B, 05:52 
Staustraße-A, 05:53 
Schloßplatz-A, 05:54 
Pulverturm-A, 05:55 
Bismarckstraße, 05:55 
Meinardusstraße, 05:56 
Marktplatz Eversten, 05:57 
Feststraße, 05:57 
Tannenkampstraße, 05:58 
Friedhof Eversten, 05:59 
Staakenweg, 06:00 
Paulstraße, 06:00 
Uhlhornsweg, 06:01 
Quellenweg, 06:02 
Universität, 06:03 
Erlenweg, 06:05 
Artillerieweg, 06:05 
Infanterieweg, 06:06
