stop_name,stop_id,stop_lat,stop_lon
Schützenhofstraße,257598348,53.1287911,8.2254189
Julius-Mosen-Platz-B,205114687,53.1410967,8.2087455
Schloßplatz-B,677530885,53.1385035,8.2178894
Julius-Mosen-Platz-C,205114687,53.1410967,8.2087455
Schloßplatz-A,677530885,53.1385035,8.2178894
Helmsweg,364153776,53.1213586,8.2537981
Nadorst,354930187,53.1693581,8.2307123
Am Bahndamm,354666924,53.1210878,8.240075
Straßburger Straße,235400113,53.1477809,8.2251962
Rohdenweg,354656266,53.1105105,8.2601826
Bogenstraße,365415818,53.1560525,8.2203696
Sandkruger Straße,582588195,53.1039323,8.2060845
Leuchtenburger Straße,268423337,53.1841713,8.183783
Max-Beckmann-Straße,655389987,53.1088729,8.2289604
P+R Marschweg/ OLantis,353029395,53.1291049,8.2046423
Kanal,290711259,53.1158155,8.1911585
Neuer Hort,353371591,53.0937745,8.1902608
Klinikum Oldenburg,655389983,53.1123997,8.2188617
Borchersweg,412055583,53.106921,8.2754449
Otto-Wels-Straße,676985004,53.0963877,8.2076346
Schafjückenweg,353049347,53.193335,8.2142872
Heinrich-Früstück-Straße,65168972,53.0905778,8.2404703
Gerhard-Stalling-Straße,364153445,53.1173924,8.2576775
Theodor-Heuss-Straße,503800173,53.1381783,8.1643884
Kurlandallee,353044620,53.1686204,8.2367817
Bümmerstede,345311783,53.0970676,8.2384982
Ludwig-Erhard-Straße,784347967,53.1316817,8.160429
Gr.-Anton-Günther-Schule,517717553,53.1329375,8.2183471
Trommelweg,206159537,53.1608885,8.240445
Osternburger Kanal,182840583,53.1256661,8.2153905
Rennplatz,353044617,53.1692571,8.2402113
An den Voßbergen,655389971,53.1154005,8.216465
Neuer Friedhof,387829654,53.1554241,8.1997008
Kath.Friedh./BBS Haarent.,350221693,53.1451418,8.189399
Fahrenkamp,370628786,53.1841408,8.1973109
Patentbusch,353050014,53.1977661,8.2155539
Drielake,364152337,53.1298764,8.2506099
Dragonerstraße,270824453,53.135572,8.2336771
Im Eichengrund,293812234,53.1862125,8.2116811
Largauweg,266635890,53.1255293,8.2441843
P+R Westfalend./ OLantis,298900469,53.1277407,8.2097427
Am Wallplacken,271232025,53.122694,8.2181825
Werrastraße,270824444,53.1384237,8.2551846
Kreyen-Centrum,676875446,53.1006583,8.2317992
Warnsweg,364152335,53.1323369,8.2457776
Stieglitzweg,354666911,53.1238215,8.2388671
Kielweg,655389962,53.103429,8.2092587
Ofen,253414566,53.1687162,8.150206
Glatzer Straße,353083620,53.1671433,8.182236
Scheideweg,360178818,53.1638683,8.2173565
Am Festungsgraben,350235422,53.1358611,8.2176635
Pulverturm-A,205114688,53.1380558,8.2128502
Rauhehorst,298874239,53.1690426,8.1861372
Pulverturm-B,205114688,53.1380558,8.2128502
Bloherfelde,206163318,53.1406783,8.1462714
von-Helmholtz-Straße,311301493,53.1019798,8.2168354
Sprungweg,677091856,53.0836735,8.2238747
Dillweg,664017209,53.1805713,8.2465002
Beentweg,270374284,53.0942175,8.2429799
Kurt-Huber-Straße,248776678,53.1525556,8.1729392
Lasiusstraße,247539333,53.141615,8.1919269
Zur Huntebrücke,85686293,53.1066802,8.1859361
Dedestraße,364152329,53.1340192,8.2278209
von-Thünen-Straße,247456793,53.1256085,8.1957161
Schmidt-Rottluff-Straße,655389977,53.1043385,8.2289696
Thomasburg,31677475,53.1260934,8.1721259
Am Tegelbusch,677530898,53.1602933,8.1675592
Nikolausstraße,715827540,53.1389536,8.2217763
Lüttichstraße,303397082,53.1583252,8.2213817
Tappenbeckstraße,694264783,53.1379599,8.2016033
Ammerländer,664008241,53.1432852,8.1935617
Feldahornweg,409268276,53.2000821,8.2013411
Schellsteder Weg,359959193,53.1695009,8.2346638
Masurenstraße,104606304,53.1587977,8.1818804
Wunderburgstraße,266055482,53.1242238,8.2363415
Fachhochschule,527872512,53.1416116,8.2032865
Eichendorffstraße,243511291,53.1261573,8.2041195
Am Ostkamp,271283995,53.1844283,8.1741988
Pophankenweg,254499661,53.1552454,8.1711961
Carl-v.-Ossietzky-Str.,1314055326,53.1525506,8.1727847
Quendelstraße,365361236,53.1644978,8.1895319
Herrenweg,270824492,53.1240942,8.2495495
Ammerlandstraße,392462466,53.1930585,8.1854445
Am Schmeel,270374279,53.0893128,8.2437319
Zuschlag,206159555,53.1703719,8.2240679
Ostring,353049365,53.1984975,8.2181596
Kanalbrücke,271774345,53.1140282,8.1936542
Ostlandstraße,206159538,53.1641734,8.2364014
Meinardusstraße,715827508,53.1340395,8.204873
Fliegerhorst,345246705,53.1759639,8.1906338
Anton-Günther-Straße,348053582,53.1282658,8.2212495
Wichmannsweg,364155067,53.133455,8.2428312
Otto-Suhr-Straße,365573152,53.1332442,8.1641911
Eichenallee,353371593,53.1098811,8.1886868
Wahnbek,72796474,53.2043667,8.248477
Adalbert-Stifter-Straße,31408565,53.1256155,8.2001075
Dr.-Behring-Straße,271231992,53.1066337,8.2071479
Ohmstede,353044615,53.1676836,8.2484416
Giesenweg,655389968,53.1088849,8.2140488
Bürgerbuschweg,355232675,53.1765089,8.206027
Kampstr./Jüdischer Friedh.,270824455,53.1338485,8.230169
